Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
V6 B4,99.1009311566266,5.846064720189724,mp-2091,-8.844793894999999,-8.844793894999999,-0.722693544666665,-0.044944920999999,9.91010918891929,257.602,199.016,262.50663549484653,2.346145694078487,106084.71734694109
Hf6 Si4,181.4728371495616,10.827438537980353,mp-2105,-8.942892006,-8.914492006,-0.7700513759999991,-0.025004507999998,18.14072234275917,143.703,95.21,82.38622680178786,0.80857030657631,27213.789180771044
Y4 B16,203.7283771992644,4.308481555562305,mp-637,-7.224510788000001,-7.224510788000001,-0.5877031486666661,-0.1903232792,10.187220825653858,177.419,139.258,143.42416565920016,2.24085195994483,45584.17254170877
La4 B16,223.5470251460546,5.412128586733907,mp-7283,-6.895536307,-6.895536307,-0.564821469333333,-0.040078661333333,11.179067162146309,170.08,155.057,147.76611292758255,1.9507001232621144,45533.05655692918
Be8 B2,78.5283011904702,1.981767284490992,mp-27757,-4.344125785,-4.344125785,-0.016717138833332,-0.016717138833333,7.863561033329847,138.194,144.093,236.23065596303184,3.867147627466417,103165.64315195674
Fe2 S2,70.5150216311231,4.140337368465816,mp-505531,-6.8096504925,-7.0611504925,-0.7579149540625001,-0.12183330375,18.60530419242604,27.657,17.295,14.96389408356054,0.5659302269837211,6773.768440046086
Zr2 S2,72.63801283424851,5.636888821153167,mp-7859,-7.77560959,-8.02710959,-1.6850343415625,-0.002728865625,18.165574007372506,116.09,48.599,68.4653671004577,0.828239804772358,30687.407139377097
Zr4 N2,98.19109596030384,6.644608687428045,mp-1014265,-9.691942243333331,-9.812275576666666,-1.334976848333333,-0.094878036666665,16.361691430457004,174.788,88.758,120.30258117686714,1.090937318643582,48766.55271842542
Ti4 N2,74.6602596715029,4.881545298728285,mp-8282,-9.359929286666668,-9.48026262,-1.437769633888888,-0.173100224444443,12.439031407870688,203.884,120.619,190.6778921603091,1.7602133062157082,84685.32318358844
Hf4 N2,93.0786428682148,13.23693363840552,mp-864647,-10.660390325,-10.780723658333336,-1.363765996666667,-0.018307150000001,15.516245752071976,194.409,146.294,152.41028946351508,0.994163771148782,62892.98265761689
Ca1 N2,39.15444664286521,2.8877545119913672,mp-1009657,-6.728036216666666,-6.968702883333333,-0.7425063066666671,-0.223953821388888,13.03315527256516,82.688,39.226,64.60334903153633,1.285608383857906,35579.35695015552
Sr1 N2,46.95106578137338,4.089657501411404,mp-10564,-6.614135053333332,-6.85480172,-0.7339739522222211,-0.264555453333334,15.56087837334118,68.626,34.11,45.65317936547703,0.8902844723280111,23666.088979781583
Ba1 O2,52.14687194659256,5.391926606146252,mp-1105,-5.798491646666666,-6.108491646666667,-2.170192663333333,-0.251838927777778,17.353706932436037,65.16,35.973,42.78736472963445,0.736158443460252,21417.963314129654
Si2 W1,41.13072026397528,9.689780288618714,mp-1620,-8.28225231,-8.28225231,-0.34599688,-0.345996880000001,13.70466834153976,219.443,189.139,302.4333348863315,1.414313846706325,163849.90400176973
K1 O2,53.241029712392354,2.21745358560247,mp-1866,-4.548624086666667,-4.65595742,-0.987183767666666,-0.123554273333333,17.676604574625042,24.246,9.593,10.857901871277804,0.5981947926904061,5397.641521935717
La1 C2,51.09656428134838,5.294806741254939,mp-2367,-7.95802522,-7.95802522,-0.160245856666666,-0.022203877916666,17.068659007376414,92.301,38.059,53.20914920291773,0.7897465597845741,26815.979655176827
U1 C2,36.94302393827631,11.778807779910728,mp-2486,-10.027358176666668,-10.027358176666668,-0.111111178333333,-0.008097737499999,12.274099735782505,173.368,76.295,87.6225356701552,0.927730804716936,49201.23338766757
Si2 Mo1,40.80421529917708,6.190200116839009,mp-2592,-7.730391676666667,-7.730391676666667,-0.498296286666666,-0.298854386333333,13.616418044038552,205.746,180.217,349.7385133225669,1.732883169482081,189978.55745881156
Sr1 O2,43.54429290000672,4.561601017002553,mp-2697,-5.7572625,-6.067262499999999,-2.205457345555555,-0.154063448333332,14.492366206172871,71.147,44.189,56.95109535083492,0.990745367671733,30273.595465210663
Ca1 O2,37.9857810951648,3.150819567534649,mp-634859,-5.8637341166666666,-6.173734116666666,-2.206560153333333,-0.002547224999999,12.744004396942314,58.943,123.9,225.13738864281385,1.839494188476148,125250.72415175721
Cr1 Si2,35.8105323060981,5.015722580900875,mp-8937,-7.206802456666666,-7.159469123333333,-0.324907946666666,-0.181395315,11.931159134467498,189.969,171.077,340.85426346253473,2.04027192637993,193391.76567422645
Mn4 B16,145.1311135844909,4.493457469243421,mp-1106184,-7.465500555,-7.465500555,-0.289584079919539,-0.089409644999999,7.238990865177719,274.672,239.029,271.95310061161507,3.5656189805511698,96779.75189556119
Zr4 O8,147.11040125091515,5.563611324333667,mp-2858,-9.503491968333334,-9.961491968333332,-3.813617754999999,-3.126835043333333,12.23405486857129,183.109,85.963,93.79896325070416,1.430757899823125,33229.40406182698
Hf4 O8,140.26214593483556,9.967760685266398,mp-352,-10.179514720833334,-10.637514720833332,-4.019811040833332,-4.019811040833332,11.67493712120816,204.904,100.522,85.5356928114765,1.189435438982617,30787.361362447977
