Formula,Volume,Density,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature,O,N,C,B,Si,Al,Mg,Zr,Ti,Ca,Y,Hf,Fe,Na,K,Ba,Sr,Li,Be,Mn,V,Cr,Nb,Mo,W,Re,Sc,La,Ce,Th,U,Tm,Elements
Ba4 U4 O16,391.8449842635073,7.447472319120133,-25.18506229458333,-25.18506229458333,-3.463102825416664,-0.128358497083311,16.67453303825589,90.551,40.544,24.164640732759377,0.7010962367059841,307.13456374532274,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,793.5191387648,"['Ba', 'U', 'O']"
Sr4 Nb8 O16,381.8459466703274,5.869553422846706,-15.453771620357143,-15.453771620357143,-2.810350909642857,-0.06182221906462,13.811998395223036,147.015,72.302,54.94379308801206,1.183189630579535,488.8716048466271,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,983.1799885622,"['Sr', 'Nb', 'O']"
Mg8 Si4 O16,288.8118045870756,3.235690308593753,-8.953371698214285,-8.953371698214285,-3.095870788214285,-0.036603790357142,10.68804256621181,119.124,74.609,65.66690354310558,1.906259093119163,732.6910223650542,16,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997.0007665845501,"['Mg', 'Si', 'O']"
Ba4 Si8 O20,486.9581147729143,3.730498528532056,-12.4076224840625,-12.4076224840625,-3.16889960515625,-0.008404640833333,15.701799870300874,58.4,34.2,21.38379250635925,0.933397314671576,406.21122333600186,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.765302,"['Ba', 'Si', 'O']"
Be4 Al8 O16,227.1110094087852,3.713486086701744,-9.228439006071428,-9.228439006071428,-3.27239648,-0.021531419642856,8.353477734555739,214.562,147.365,149.9800994005301,2.914136887168905,1037.9189091609792,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1435.87119377375,"['Be', 'Al', 'O']"
La4 Sc4 O12,267.3212593398152,5.761036669740338,-15.6671713215,-15.6671713215,-3.854997618750002,-0.0607980236249999,13.565068244095542,153.924,79.013,69.01347127832778,1.260997655062906,518.982767880913,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1023.4005097929501,"['La', 'Sc', 'O']"
Li4 Ca4 N4,170.87791425417905,2.372116010439024,-6.982460225833333,-6.982460225833333,-0.7978766309722221,-0.050253396527783,14.456194982977893,69.668,40.787,46.03546997784001,1.339796407059486,567.2200482788347,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,794.96613865295,"['Li', 'Ca', 'N']"
Sr4 Hf4 O12,270.9121553948899,7.701226062859422,-19.362322874,-19.362322874,-3.719387391250001,-0.186287281999998,13.874598303444756,155.349,92.483,71.92466314184975,1.154319463312355,482.5201240563591,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104.2787379089498,"['Sr', 'Hf', 'O']"
Sr4 C4 O12,258.4475691195478,3.794093432363294,-11.041855713,-11.041855713,-2.439756270249999,-0.471776652000006,13.43571682006095,60.547,29.338,20.32471599517756,0.9684676001821272,396.2057080948941,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.8609750342001,"['Sr', 'C', 'O']"
Ba4 Y8 O16,438.51553982760527,5.742744157648582,-16.585537306785714,-16.585537306785714,-3.5831198625000003,-0.029779232321427,16.035252953625772,113.773,59.353,42.61974780347327,0.982294707604596,427.81132226513535,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.71375823495,"['Ba', 'Y', 'O']"
U4 Mo4 C8,199.62507063159595,11.911467716333894,-31.865032205625,-31.865032205625,-0.387910594375,-0.154289162187499,12.572543403653668,255.507,145.732,119.77367829881406,1.238417720048076,499.72078557983554,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1425.9569187032,"['U', 'Mo', 'C']"
Ca4 Ti4 O12,224.09973769300063,4.029259419540245,-11.0246153715,-11.0246153715,-3.445885038083334,-0.1677595855,11.445709939362873,172.274,102.365,108.64234001831302,1.906466114942265,747.3282348628405,12,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163.74037627375,"['Ca', 'Ti', 'O']"
